"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"45";1792;1792;"Adyen";"adyen";"adyen";NA;"Netherlands";1950;22237;"Netherlands";"Pieter van der Does";155;2127;NA;"http://specials-images.forbesimg.com/imageserve/5a85ad874bbe6f2652f5a694/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a85ad874bbe6f2652f5a694/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"46";460;460;"Aegon";"aegon";"aegon";"Diversified Insurance";"Netherlands";30872;10748;"Netherlands";"Alexander Rijn Wynaendts";838;425396;NA;NA;NA
"47";869;869;"Aena";"aena";"aena";"Other Transportation";"Spain";4957;26799;"Spain";"Maurici Lucena Betriu";1567;17032;NA;NA;NA
"48";620;620;"Aeon";"aeon";"aeon";"Food Retail";"Japan";77102;15189;"Japan";"Motoya Okada";214;90277;NA;NA;NA
"49";1123;1123;"AerCap Holdings";"aercap-holdings";"aercap-holdings";"Other Transportation";"Ireland";4747;7050;"Ireland";"Aengus Kelly";1016;43209;NA;NA;NA
"50";1020;1020;"Aeroports de Paris";"aeroports-de-paris";"aeroports-de-paris";"Other Transportation";"France";5283;19950;"France";"Augustin Pascal de Romanet de Beaune";720;18367;NA;NA;NA
"51";223;223;"Aflac";"aflac";"aflac";"Life & Health Insurance";"United States";22185;36634;"Ohio";"Daniel P. Amos";2919;145597;"Ohio";NA;NA
"52";605;605;"Ageas";"ageas";"ageas";"Diversified Insurance";"Belgium";12315;10179;"Belgium";"Bart Karel de Smet";955;115488;NA;NA;NA
"53";991;991;"Agile Group Holdings";"agile-group-holdings";"no-pic";"Real Estate";"China";8478;6231;"China";"Letizia Maria Brichetto Arnaboldi Moratti";1081;33565;NA;NA;NA
"54";1094;1094;"Agilent Technologies";"agilent-technologies";"agilent-technologies";"Electronics";"United States";4987;24185;"California";"Mike R. McMullen";1140;8952;"California";NA;NA
"55";4;4;"Agricultural Bank of China";"agricultural-bank-of-china";"agricultural-bank-of-china";"Regional Banks";"China";137456;197045;"China";"Huan Zhao";30894;3293105;NA;NA;NA
"56";1282;1282;"Ahli United Bank";"ahli-united-bank";"ahli-united-bank";"Regional Banks";"Bahrain";1885;7351;"Bahrain";"Adel Mohamed Abdul Shafe El-Labban";662;35508;NA;NA;NA
"57";1578;1578;"Air Canada";"air-canada";"air-canada";"Airline";"Canada";13937;6564;"Canada";"Calin Rovinescu";129;14055;NA;NA;NA
"58";950;950;"Air France-KLM";"air-france-klm";"air-france-klm";"Airline";"France";31278;5345;"France";"Benjamin M. Smith";483;33217;NA;NA;NA
"59";1902;1902;"Air Lease";"air-lease";"no-pic";"Business & Personal Services";"United States";1680;4200;"California";"John L. Plueger";511;18482;"California";NA;NA
"60";268;268;"Air Liquide";"air-liquide";"air-liquide";"Specialized Chemicals";"France";24788;56934;"France";"Benoît Potier";2493;47990;NA;NA;NA
"61";601;601;"Air Products & Chemicals";"air-products-chemicals";"air-products-chemicals";"Specialized Chemicals";"United States";8938;43509;"Pennsylvania";"Seifi Ghasemi";1691;19142;"Pennsylvania";NA;NA
"62";1206;1206;"Airports of Thailand";"airports-of-thailand";"airports-of-thailand";"Other Transportation";"Thailand";1897;30858;"Thailand";"Prasong Poontaneat";783;5787;NA;NA;NA
"63";569;569;"Aisin Seiki";"aisin-seiki";"aisin-seiki";"Auto & Truck Parts";"Japan";36613;10995;"Japan";"Kanshiro Toyoda";1099;32460;NA;NA;NA
"64";1596;1596;"Ajinomoto";"ajinomoto";"ajinomoto";"Food Processing";"Japan";10294;8409;"Japan";"Takaaki Nishii";255;12680;NA;NA;NA
"65";870;869;"Akbank";"akbank";"akbank";"Regional Banks";"Turkey";8253;5654;"Turkey";"Hakan Binbasgil";1170;66693;NA;NA;NA
"66";688;688;"Akzo Nobel";"akzo-nobel";"akzo-nobel";"Diversified Chemicals";"Netherlands";10920;20180;"Netherlands";"Thierry F. J. Vanlancker";1018;21766;NA;NA;NA
"67";519;519;"Al Rajhi Bank";"al-rajhi-bank";"al-rajhi-bank";"Regional Banks";"Saudi Arabia";4753;49666;"Saudi Arabia";"Stefano Paolo Bertamini";2745;97301;NA;NA;NA
"68";1672;1672;"Alaska Air Group";"alaska-air-group";"alaska-air-group";"Airline";"United States";8264;7623;"Washington";"Bradley D. Tilden";437;11524;"Washington";NA;NA
"69";1758;1758;"Albemarle";"albemarle";"albemarle";"Specialized Chemicals";"United States";3375;8743;"North Carolina";"Luke C. Kissam";694;7582;"North Carolina";NA;NA
"70";1576;1576;"Alcoa";"alcoa";"alcoa";"Aluminum";"United States";13120;4946;"Pennsylvania";"Roy C. Harvey";-122;15956;"Pennsylvania";"http://specials-images.forbesimg.com/imageserve/58a1eb834bbe6f0e5586ab77/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/58a1eb834bbe6f0e5586ab77/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832"
"71";1610;1610;"Alexandria Real Estate Equities";"alexandria-real-estate-equities";"no-pic";"Real Estate";"United States";1243;15663;"California";"Joel S Marcus";371;14465;"California";NA;NA
"72";1496;1496;"Alexion Pharmaceuticals";"alexion-pharmaceuticals";"alexion-pharmaceuticals";"Biotechs";"United States";4133;28264;"Massachusetts";"Ludwig N. N. Hantson";78;13932;"Massachusetts";"http://specials-images.forbesimg.com/imageserve/5797b5f831358e154fddfc10/280x425.jpg?fit=scale&background=000000";"http://specials-images.forbesimg.com/imageserve/5797b5f831358e154fddfc10/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"73";1825;1825;"Alfa Laval";"alfa-laval";"alfa-laval";"Other Industrial Equipment";"Sweden";4674;10380;"Sweden";"Tom Erixon";519;6566;NA;NA;NA
"74";1408;1408;"Alfresa Holdings";"alfresa-holdings";"alfresa-holdings";"Pharmaceuticals";"Japan";23820;5541;"Japan";"Hiroyuki Kanome";410;12627;NA;NA;NA
"75";59;59;"Alibaba";"alibaba";"alibaba";"Internet & Catalog Retail";"China";51892;480797;"China";"Yong Zhang";10273;133726;NA;"http://specials-images.forbesimg.com/imageserve/5d5dae8295808800097d8286/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5dae8295808800097d8286/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"76";1618;1618;"Align Technology";"align-technology";"no-pic";"Medical Equipment & Supplies";"United States";1966;22518;"California";"Joseph M. Hogan";400;2052;"California";"http://specials-images.forbesimg.com/imageserve/5b0ecafba7ea436b547ec4fb/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b0ecafba7ea436b547ec4fb/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"77";1118;1118;"Alinma Bank";"alinma-bank";"alinma-bank";"Regional Banks";"Saudi Arabia";1584;10569;"Saudi Arabia";"Abdul Mohsin bin Abdul Aziz Al-Fares";671;32344;NA;NA;NA
"78";702;702;"All Nippon Airways";"all-nippon-airways";"all-nippon-airways";"Airline";"Japan";18556;11990;"Japan";"Shinya Katanozaka";885;23594;NA;NA;NA
"79";1884;1884;"Allahabad Bank";"allahabad-bank";"allahabad-bank";"Regional Banks";"India";3021;1544;"India";"CH. S. S. Mallikarjuna Rao";-710;38909;NA;NA;NA
"80";1373;1373;"Alleghany";"alleghany";"alleghany";"Property & Casualty Insurance";"United States";7085;9354;"New York";"Weston M. Hicks";40;25641;"New York";NA;NA
"81";595;595;"Allergan";"allergan";"allergan";"Pharmaceuticals";"Ireland";15787;46333;"Ireland";"Brenton L. Saunders";-5096;101788;NA;"http://specials-images.forbesimg.com/imageserve/5797b67f31358e154fddfc13/280x425.jpg?fit=scale&background=000000";"http://specials-images.forbesimg.com/imageserve/5797b67f31358e154fddfc13/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"82";919;919;"Alliance Data Systems";"alliance-data-systems";"alliance-data-systems";"Business & Personal Services";"United States";7791;8617;"Texas";"Ed Heffernan";963;30388;"Texas";NA;NA
"83";1490;1490;"Alliant Energy";"alliant-energy";"alliant-energy";"Electric Utilities";"United States";3535;10865;"Wisconsin";"Patricia Leonard Leonard Kampling";522;15981;"Wisconsin";NA;NA
"84";23;23;"Allianz";"allianz";"allianz";"Diversified Insurance";"Germany";118843;102303;"Germany";"Oliver Bäte";8803;1060217;NA;"http://specials-images.forbesimg.com/imageserve/5cd1a1d3cf85c400083ec658/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1a1d3cf85c400083ec658/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"85";224;223;"Allstate";"allstate";"allstate";"Diversified Insurance";"United States";39124;32206;"Texas";"Tom Joseph Wilson";2252;113399;"Texas";NA;NA
"86";540;540;"Ally Financial";"ally-financial";"ally-financial";"Regional Banks";"United States";10680;11924;"Michigan";"Jeffrey J. Brown";1263;178869;"Michigan";NA;NA
"87";1563;1563;"Almarai";"almarai";"almarai";"Food Processing";"Saudi Arabia";3691;15440;"Saudi Arabia";"Alois Hofbauer";523;8660;NA;"http://specials-images.forbesimg.com/imageserve/5cd1a222660f45000833179d/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1a222660f45000833179d/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"88";1666;1666;"Alpha Bank";"alpha-bank";"alpha-bank";"Regional Banks";"Greece";3810;2551;"Greece";"Vassilios E. Psaltis";62;69740;NA;NA;NA
"89";17;17;"Alphabet";"alphabet";"alphabet";"Computer Services";"United States";136958;863178;"California";"Lawrence E. Page";30736;232792;"California";NA;NA
"90";1327;1327;"Alrosa";"alrosa";"alrosa";"Diversified Metals & Mining";"Russia";4743;11027;"Russia";"Sergey Sergeevich Ivanov";1425;5927;NA;NA;NA
"91";963;963;"Alstom";"alstom";"alstom";"Conglomerates";"France";9759;10216;"France";"Henri Poupart-Lafarge";981;15868;NA;NA;NA
"92";1095;1095;"Altice Europe";"altice-europe";"no-pic";"Broadcasting & Cable";"Netherlands";16818;3405;"Netherlands";"Alain Weill";-393;51820;NA;"http://specials-images.forbesimg.com/imageserve/5d979cf24223bf0006b7c1d1/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d979cf24223bf0006b7c1d1/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"93";976;976;"Altice USA";"altice-usa";"no-pic";"Broadcasting & Cable";"United States";9567;16366;"New York";"Dexter G. Goei";19;34510;"New York";NA;NA
"94";210;210;"Altria Group";"altria-group";"altria-group";"Tobacco";"United States";19627;101809;"Virginia";"Howard A. A. Willard, III";6955;55638;"Virginia";NA;NA
"95";924;924;"Aluminum Corp of China";"aluminum-corp-of-china";"aluminum-corp-of-china";"Aluminum";"China";26912;10397;"China";"De Hui Yu";137;29274;NA;NA;NA
"96";1904;1904;"AmBank Group";"ambank-group";"ambank-group";"Regional Banks";"Malaysia";1945;3262;"Malaysia";"Sulaiman bin Mohamed Tahir";322;37325;NA;NA;NA
"97";951;951;"Amadeus IT Group";"amadeus-it-group";"amadeus-it-group";"Software & Programming";"Spain";5823;33339;"Spain";"Luis Maroto";1183;11656;NA;NA;NA
"98";28;28;"Amazon";"amazon";"amazon";"Internet & Catalog Retail";"United States";232887;916050;"Washington";"Jeffrey P. P. Bezos";10073;162648;"Washington";"http://specials-images.forbesimg.com/imageserve/5d825aa26de3150009a4616c/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d825aa26de3150009a4616c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"99";1151;1151;"Amcor";"amcor";"amcor";"Containers & Packaging";"Australia";9358;12726;"Australia";"Ronald Stephen Delia";658;8868;NA;NA;NA
"100";854;854;"Ameren";"ameren";"ameren";"Electric Utilities";"United States";6291;17297;"Missouri";"Warner L. Baxter";815;27215;"Missouri";NA;NA
"101";373;373;"American Airlines Group";"american-airlines-group";"american-airlines-group";"Airline";"United States";44541;15434;"Texas";"Doug Parker";1412;60580;"Texas";NA;NA
"102";317;317;"American Electric";"american-electric";"american-electric";"Electric Utilities";"United States";16167;40948;"Ohio";"Nicholas K. Akins";1924;71554;"Ohio";NA;NA
"103";1449;1449;"American Equity Investment";"american-equity-investment";"american-equity-investment";"Life & Health Insurance";"United States";2361;2584;"Iowa";"John Michael Matovina";458;63065;"Iowa";NA;NA
"104";83;83;"American Express";"american-express";"american-express";"Consumer Financial Services";"United States";43282;95340;"New York";"Stephen J. Squeri";6867;188602;"New York";"http://specials-images.forbesimg.com/imageserve/5ce2f4bf87fac400077d4dec/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5ce2f4bf87fac400077d4dec/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"105";982;982;"American Financial Group";"american-financial-group";"american-financial-group";"Diversified Insurance";"United States";6822;8964;"Ohio";"Carl Henry Lindner";530;63963;"Ohio";NA;NA
"106";462;462;"American International Group";"american-international-group";"american-international-group";"Diversified Insurance";"United States";47208;40043;"New York";"Brian Duperreault";-6;491984;"New York";NA;NA
"107";543;543;"American Tower";"american-tower";"american-tower";"Real Estate";"United States";7440;85260;"Massachusetts";"James D. D. Taiclet, Jr.";1236;33010;"Massachusetts";NA;NA
"108";1110;1110;"American Water Works";"american-water-works";"american-water-works";"Diversified Utilities";"United States";3440;18900;"New Jersey";"Susan N. Story";567;22216;"New Jersey";NA;NA
"109";372;372;"Ameriprise Financial";"ameriprise-financial";"ameriprise-financial";"Investment Services";"United States";12592;19399;"Minnesota";"James Cracchiolo";2098;137216;"Minnesota";NA;NA
"110";412;412;"AmerisourceBergen";"amerisourcebergen";"amerisourcebergen";"Pharmaceuticals";"United States";172866;15293;"Pennsylvania";"Steven H. Collis";1190;39268;"Pennsylvania";NA;NA
"111";1284;1284;"Ametek";"ametek";"ametek";"Electrical Equipment";"United States";4846;19678;"Maryland";"David A. Zapico";778;8662;"Maryland";NA;NA
"112";175;175;"Amgen";"amgen";"amgen";"Biotechs";"United States";23768;109313;"California";"Robert A. Bradway";8394;66416;"California";NA;NA
"113";861;861;"Amphenol";"amphenol";"amphenol";"Electronics";"United States";8202;31158;"Connecticut";"Richard Adam Norwitt";1205;10045;"Connecticut";NA;NA
"114";189;189;"América Móvil";"america-movil";"america-movil";"Telecommunications services";"Mexico";53065;52350;"Mexico";"Daniel Hajj Aboumrad";2522;72572;NA;NA;NA
"115";587;587;"Anadarko Petroleum";"anadarko-petroleum";"anadarko-petroleum";"Oil & Gas Operations";"United States";13078;32216;"Texas";"Al Walker";605;40376;"Texas";NA;NA
"116";683;683;"Analog Devices";"analog-devices";"analog-devices";"Semiconductors";"United States";6223;42279;"Massachusetts";"Vincent T. Roche";1577;21828;"Massachusetts";NA;NA
"117";1900;1900;"Andhra Bank";"andhra-bank";"andhra-bank";"Regional Banks";"India";3305;707;"India";"Jayaraman Packirisamy";-522;37735;NA;NA;NA
"118";1102;1102;"Angang Steel";"angang-steel";"angang-steel";"Iron & Steel";"China";15103;6029;"China";"Da Qing Lin";1063;13112;NA;NA;NA
"119";261;261;"Anglo American";"anglo-american";"anglo-american";"Diversified Metals & Mining";"United Kingdom";27610;35852;"United Kingdom";"Mark Cutifani";3577;52196;NA;NA;NA
"120";69;69;"Anheuser-Busch InBev";"anheuser-busch-inbev";"anheuser-busch-inbev";"Beverages";"Belgium";54620;175653;"Belgium";"Carlos Alves de Brito";4330;233841;NA;"http://specials-images.forbesimg.com/imageserve/5b461b404bbe6f1becf1fa2f/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b461b404bbe6f1becf1fa2f/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"121";407;407;"Anhui Conch Cement";"anhui-conch-cement";"anhui-conch-cement";"Construction Materials";"China";18985;33605;"China";"Bin Wu";4489;21782;NA;NA;NA
"122";1114;1114;"Annaly Capital Management";"annaly-capital-management";"annaly-capital-management";"Real Estate";"United States";1967;14415;"New York";"Kevin Gerard Keyes";54;105788;"New York";"http://specials-images.forbesimg.com/imageserve/5b5a2d5731358e0429c44c91/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b5a2d5731358e0429c44c91/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"123";1749;1749;"Ansys";"ansys";"ansys";"Software & Programming";"United States";1294;15650;"Pennsylvania";"Ajei S. Gopal";419;3266;"Pennsylvania";NA;NA
"124";1401;1401;"Anta Sports Products";"anta-sports-products";"anta-sports-products";"Apparel/Accessories";"China";3631;18928;"China";"Shi Zhong Ding";620;3550;NA;NA;NA
"125";933;933;"AntarChile";"antarchile";"antarchile";"Investment Services";"Chile";23975;6404;"Chile";"Andrés Lehuedé Bromley";666;24026;NA;NA;NA
"126";141;141;"Anthem";"anthem";"anthem";"Managed Health Care";"United States";92095;61643;"Indiana";"Gail K. Koziara Boudreaux";3750;71571;"Indiana";"http://specials-images.forbesimg.com/imageserve/5ae8bb324bbe6f748687e3f8/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5ae8bb324bbe6f748687e3f8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"127";1484;1484;"Antofagasta";"antofagasta";"antofagasta";"Diversified Metals & Mining";"United Kingdom";4747;12941;"United Kingdom";"Iván Arriagada Herrera";498;14103;NA;NA;NA
"128";571;571;"Aon";"aon";"aon";"Business & Personal Services";"United Kingdom";10761;42140;"United Kingdom";"Gregory C. Case";1052;26422;NA;"http://specials-images.forbesimg.com/imageserve/5b928bab4bbe6f30c1b132a9/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b928bab4bbe6f30c1b132a9/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"129";1766;1766;"Aozora Bank";"aozora-bank";"aozora-bank";"Regional Banks";"Japan";1356;2869;"Japan";"Shinsuke Baba";355;45990;NA;NA;NA
"130";1260;1260;"Apache";"apache";"apache";"Oil & Gas Operations";"United States";7343;13484;"Texas";"John J. J. Christmann IV";40;21582;"Texas";NA;NA
"131";6;6;"Apple";"apple";"apple";"Computer Hardware";"United States";261705;961257;"California";"Tim Cook";59431;373719;"California";"http://specials-images.forbesimg.com/imageserve/5c13d14731358e5b4339c564/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5c13d14731358e5b4339c564/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"132";435;435;"Applied Materials";"applied-materials";"applied-materials";"Semiconductors";"United States";16802;41726;"California";"Gary E. Dickerson";3949;18922;"California";NA;NA
"133";740;740;"Aptiv";"aptiv";"no-pic";"Auto & Truck Parts";"Ireland";14437;23299;"Ireland";"Kevin P. Clark";1067;12480;NA;NA;NA
"134";1439;1439;"Arab Bank";"arab-bank";"arab-bank";"Regional Banks";"Jordan";2283;5414;"Jordan";"Nehme Elias Sabbagh";611;36000;NA;NA;NA
"135";1003;1003;"Arab National Bank";"arab-national-bank";"arab-national-bank";"Regional Banks";"Saudi Arabia";2176;10000;"Saudi Arabia";"Robert Maroun Eid";883;47528;NA;NA;NA
"136";1163;1163;"Aramark";"aramark";"aramark";"Restaurants";"United States";16090;7795;"Pennsylvania";"Eric J. Foss";526;13739;"Pennsylvania";NA;NA
"137";1419;1419;"Arca Continental";"arca-continental";"arca-continental";"Beverages";"Mexico";8263;10041;"Mexico";"Arturo Gutiérrez Hernández";452;12079;NA;NA;NA
"138";195;195;"ArcelorMittal";"arcelormittal";"arcelormittal";"Iron & Steel";"Luxembourg";75963;23977;"Luxembourg";"Lakshmi Niwas Mittal";5137;91249;NA;NA;NA
"139";953;952;"Arch Capital Group";"arch-capital-group";"arch-capital-group";"Property & Casualty Insurance";"Bermuda";5613;13126;"Bermuda";"Marc Grandisson";755;31243;NA;"http://specials-images.forbesimg.com/imageserve/5a9efd44a7ea434a0c282c18/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a9efd44a7ea434a0c282c18/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"140";327;327;"Archer Daniels Midland";"archer-daniels-midland";"archer-daniels-midland";"Food Processing";"United States";64300;23949;"Illinois";"Juan R. Ricardo Luciano";1810;40833;"Illinois";"http://specials-images.forbesimg.com/imageserve/5ae89f95a7ea43676fd01b2c/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5ae89f95a7ea43676fd01b2c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"141";958;958;"Arconic";"arconic";"arconic";"Aluminum";"United States";14014;9080;"New York";"Charles P. C. Blankenschip";642;18693;"New York";NA;NA
"142";1632;1632;"Ares Capital";"ares-capital";"no-pic";"Investment Services";"United States";1768;7396;"New York";"Kipp deVeer III";858;12895;"New York";NA;NA
"143";1733;1733;"Arista Networks";"arista-networks";"arista-networks";"Communications Equipment";"United States";2151;24490;"California";"Jayshree V. Ullal";328;3082;"California";NA;NA
"144";1205;1205;"Arkema";"arkema";"arkema";"Diversified Chemicals";"France";10401;8127;"France";"Thierry le Hénaff";834;11626;NA;NA;NA
